Number,District ID,District,Response Rate,Item,Old Item,Topic,Full Question,Prompt,See Column,Selected,Strongly Disagree,Disagree,Agree,Strongly Agree,The material I use is below grade-level material.,The material I use is on grade-level material.,The material I use is above grade-level material.,I am not sure.,Strongly Disagree,Disagree,Agree,Strongly Agree,Not Applicable,Never,Rarely,Sometimes,Frequently,Not at all,Less than once a week,Once a week,2-3 times a week,Almost every day,5 percent or less,6 percent to 10 percent,11 percent to 15 percent,16 percent to 25 percent,More than 25 percent,Less than 2 hours,2 to 4 hours,4 to 6 hours,6 to 10 hours,More than 10 hours,Less than 30 minutes a day,"30 minutes or more, less than 45 minutes a day","45 minutes or more, less than 48 minutes a day","48 minutes or more, less than 60 minutes a day",60 minutes or more a day,Focused more on improving my teaching than judging my performance.,Focused more on judging my performance than improving my teaching.,Equally focused on improving my teaching and judging my performance.,,,,,,,,,,,,,,,,
11,10,Anderson County,74%,TC_03a,TC_03a,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader regularly models effective instruction.,L,  , 3% [-5%] , 17% [-2%] , 43% [0%] , 36% [+6%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
12,10,Anderson County,74%,TC_03b,TC_03b,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader regularly gives feedback on my instruction.,L,  , 1% [-4%] , 6% [-5%] , 49% [+3%] , 44% [+6%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
13,10,Anderson County,74%,TC_03c,TC_03c,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader knows my instructional strengths and areas of growth.,L,  , 1% [-3%] , 5% [-4%] , 42% [-3%] , 52% [+10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
14,10,Anderson County,74%,TC_03d,TC_03d,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader is knowledgeable about the curricula being used.,L,  , 1% [-3%] , 10% [-3%] , 45% [-1%] , 45% [+8%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
15,10,Anderson County,74%,TC_03e,TC_03e,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader is knowledgeable about the non-academic needs of my students.,L,  , 1% [-3%] , 3% [-3%] , 39% [-5%] , 57% [+11%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
16,10,Anderson County,74%,TC_04a,TC_04a,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school safety.,School leadership effectively handles student discipline and behavioral problems.,L,  , 2% [-7%] , 9% [-3%] , 47% [+7%] , 43% [+4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
17,10,Anderson County,74%,TC_05a,,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,Teachers at my school feel responsible for student success.,L,  , 0% , 2% , 46% , 52% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
18,10,Anderson County,74%,TC_05b,TC_05b,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,Teachers at my school feel responsible to help each other do their best.,L,  , 1% [+1%] , 5% [+1%] , 46% [-11%] , 49% [+10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
19,10,Anderson County,74%,TC_05c,TC_05c,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,"Teachers at my school help maintain discipline in the entire school, not just their classroom.",L,  , 1% [-1%] , 10% [-1%] , 51% [-3%] , 38% [+5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
20,10,Anderson County,74%,TC_05d,TC_05d,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,Teachers at my school take responsibility for improving their school.,L,  , 1% [+1%] , 7% [0%] , 49% [-8%] , 43% [+8%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
21,10,Anderson County,74%,TC_06b,TC_06b,Resources and Time Use,Please indicate the extent to which you agree or disagree with the following statements regarding your planning time this school year.,My individual planning time is sufficient.,L,  , 6% [-5%] , 22% [+1%] , 46% [-2%] , 26% [+6%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
22,10,Anderson County,74%,TC_06c,TC_06c,Resources and Time Use,Please indicate the extent to which you agree or disagree with the following statements regarding your planning time this school year.,My collaborative planning time is sufficient.,L,  , 4% [-4%] , 19% [+1%] , 52% [0%] , 26% [+4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
23,10,Anderson County,74%,TC_13a,TC_13a,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,Students with mild or moderate disabilities,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 4% [-2%] , 18% [+1%] , 47% [-6%] , 28% [+7%] , 3% [0%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
24,10,Anderson County,74%,TC_13b,TC_13b,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,Students with severe disabilities,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 6% [-4%] , 17% [-7%] , 37% [+4%] , 20% [+3%] , 20% [+4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
25,10,Anderson County,74%,TC_13c,TC_13c,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,English language learners,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 4% [-7%] , 18% [-3%] , 40% [+3%] , 19% [+6%] , 19% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
26,10,Anderson County,74%,TC_13d,,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,All of your students,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 2% , 9% , 50% , 38% , 1% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
27,10,Anderson County,74%,TC_07a,,Parental Engagement,Please indicate the extent to which you agree or disagree with each of the following statements regarding teacher/parent relations at your school.,I regularly communicate with parents about how they can help their children learn.,L,  , 0% , 13% , 61% , 26% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
28,10,Anderson County,74%,TC_07b,TC_08b,Parental Engagement,Please indicate the extent to which you agree or disagree with each of the following statements regarding teacher/parent relations at your school.,I feel supported by the parents of my students.,L,  , 3% [-1%] , 20% [-5%] , 63% [+6%] , 15% [+2%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
29,10,Anderson County,74%,TC_07c,TC_08c,Parental Engagement,Please indicate the extent to which you agree or disagree with each of the following statements regarding teacher/parent relations at your school.,"This school offers an array of opportunities for families to participate in school planning, leadership, and volunteering.",L,  , 2% [-5%] , 20% [-3%] , 54% [+3%] , 24% [+4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
30,10,Anderson County,74%,TC_08,TC_09,Support,"In a typical week, what percentage of instructional time do you spend managing student behavioral and disciplinary issues?",,AH,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 32% [+1%] , 28% [+5%] , 16% [-2%] , 11% [-5%] , 13% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
31,10,Anderson County,74%,TC_09a,TC_10a,Support,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,My professional learning has been closely aligned to the instructional materials that have been adopted by my district.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2% [0%] , 7% [0%] , 35% [-4%] , 56% [+4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
32,10,Anderson County,74%,TC_09b,TC_10b,Support,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,The professional learning I have received has led to improvements in my teaching.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2% [0%] , 9% [-1%] , 43% [-1%] , 46% [+2%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
33,10,Anderson County,74%,TC_10,TC_11,Policies and Practices,"On average, how many hours per week do you spend creating or sourcing materials to use for classroom instruction including planning time during and outside of school hours?",,AM,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 9% [-2%] , 26% [+1%] , 31% [+2%] , 22% [+1%] , 12% [-1%] ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
34,10,Anderson County,74%,TC_11,TC_12,Policies and Practices,How many total minutes of planning time are you SCHEDULED to receive over the course of a typical week?,,AR,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 18% [+7%] , 8% [-4%] , 27% [+7%] , 7% [+1%] , 39% [-12%] ,  ,  ,  ,,,,,,,,,,,,,,,,
35,10,Anderson County,74%,TC_06a,TC_06a,Miscellaneous,Please indicate the extent to which you agree or disagree with the following statements regarding your planning time this school year.,Teachers in my school are allowed to focus on teaching students with minimal interruptions.,L,  , 3% [-3%] , 15% [+1%] , 56% [+1%] , 26% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
36,10,Anderson County,74%,TC_09c,TC_10c,Miscellaneous,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,I have received specific professional learning suggestions that are tailored to my needs.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3% [0%] , 18% [+1%] , 39% [-2%] , 40% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
37,10,Anderson County,74%,TC_09d,TC_10d,Miscellaneous,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,My professional learning experiences this year have been closely aligned to the feedback I received on my evaluation.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4% [-2%] , 18% [+4%] , 38% [-1%] , 40% [-1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
38,10,Anderson County,74%,TC_12a,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Delivering instruction directly to students,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4% , 5% , 5% , 12% , 74% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
39,10,Anderson County,74%,TC_12b,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Tailoring the learning experience to meet individual student needs,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3% , 5% , 9% , 27% , 55% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
40,10,Anderson County,74%,TC_12c,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Content-based learning acceleration,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 8% , 9% , 16% , 32% , 35% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
41,10,Anderson County,74%,TC_12d,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Supporting student collaboration,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 9% , 11% , 15% , 26% , 38% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
42,10,Anderson County,74%,TC_14a,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Difficultly scaffolding instruction and providing access points,K, 34% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
43,10,Anderson County,74%,TC_14b,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,"Lack of assistive technology to serve varying needs (e.g., iPad, wiggle chair)",K, 15% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
44,10,Anderson County,74%,TC_14c,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Providing access to daily instruction,K, 20% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
45,10,Anderson County,74%,TC_14d,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Lack of training in instructional strategies for students w/ learning challenges,K, 30% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
46,10,Anderson County,74%,TC_14e,TC_14e,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Additional meetings,K, 37% [+9%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
47,10,Anderson County,74%,TC_14f,TC_14f,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,The additional planning time it requires,K, 44% [-3%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
48,10,Anderson County,74%,TC_14g,TC_14g,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,"How to support students’ behavioral success (i.e., implementing a behavior plan)",K, 37% [+2%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
49,10,Anderson County,74%,TC_14h,TC_14h,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Disruptions to the classroom environment and flow of teaching,K, 60% [+7%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
50,10,Anderson County,74%,TC_14i,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Requiring additional support from administration,K, 12% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
51,10,Anderson County,74%,TC_14j,TC_14j,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Lack of support personnel,K, 39% [+11%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
52,10,Anderson County,74%,TC_14k,TC_14k,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Other,K, 7% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
53,10,Anderson County,74%,TC_17,TC_17,Miscellaneous,"During the current school year, feedback that I received from my evaluator was…",,AW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 66% [+2%] , 4% [-3%] , 30% [+1%] ,,,,,,,,,,,,,,,,
54,10,Anderson County,74%,TC_18,,Miscellaneous,Think about the typical Tier 1 instruction that you provide related to addressing learning loss. Which of the following options best represent the level of the material that you use during Tier 1 instruction?,,P,  ,  ,  ,  ,  , 13% , 69% , 6% , 12% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
