District Number,District Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Science Composite,Social Studies Composite
680,Perry County,1,2,2,2,3.0,1.0
690,Pickett County,1,1,1,1,2.0,1.0
70,Campbell County,1,1,1,1,1.0,1.0
700,Polk County,1,2,1,1,2.0,3.0
710,Putnam County,5,5,5,5,3.0,1.0
720,Rhea County,3,2,5,3,2.0,4.0
721,Dayton,4,5,3,4,3.0,4.0
730,Roane County,4,3,5,5,5.0,1.0
740,Robertson County,1,1,1,1,1.0,1.0
750,Rutherford County,5,5,5,5,5.0,5.0
751,Murfreesboro,4,2,5,3,4.0,3.0
760,Scott County,1,2,1,1,2.0,1.0
761,Oneida,1,3,1,1,3.0,1.0
770,Sequatchie County,5,3,5,4,5.0,4.0
780,Sevier County,2,5,5,5,1.0,1.0
792,Memphis-Shelby County Schools,5,5,1,1,5.0,3.0
793,Arlington,2,5,1,3,1.0,3.0
794,Bartlett,5,5,2,5,5.0,5.0
795,Collierville,5,4,5,5,5.0,5.0
796,Germantown,5,5,3,5,5.0,4.0
797,Lakeland,3,3,2,3,2.0,4.0
798,Millington Municipal Schools,3,3,1,2,3.0,3.0
80,Cannon County,1,1,1,1,2.0,1.0
800,Smith County,1,2,1,1,1.0,1.0
810,Stewart County,1,2,4,3,1.0,3.0
820,Sullivan County,5,5,5,5,1.0,3.0
821,Bristol,5,5,5,5,5.0,5.0
822,Kingsport,5,1,5,3,5.0,5.0
830,Sumner County,2,1,4,1,3.0,5.0
840,Tipton County,1,1,1,1,1.0,5.0
850,Trousdale County,5,3,5,5,5.0,5.0
860,Unicoi County,1,2,1,1,3.0,3.0
870,Union County,1,1,1,1,1.0,1.0
880,Van Buren County,2,3,5,5,1.0,1.0
890,Warren County,1,1,1,1,1.0,1.0
900,Washington County,5,5,5,5,3.0,5.0
901,Johnson City,5,5,5,5,5.0,5.0
910,Wayne County,1,2,1,1,1.0,1.0
92,Hollow Rock - Bruceton,1,4,1,2,3.0,1.0
920,Weakley County,3,1,5,4,3.0,1.0
93,Huntingdon Special School District,1,1,2,1,1.0,5.0
930,White County,4,2,3,3,1.0,5.0
94,McKenzie,1,1,5,3,1.0,3.0
940,Williamson County,5,3,4,3,5.0,5.0
941,Franklin SSD,4,2,4,3,5.0,4.0
95,South Carroll,1,1,1,1,3.0,1.0
950,Wilson County,5,3,5,5,5.0,5.0
951,Lebanon,5,5,5,5,5.0,1.0
961,Alvin C York Institute,2,2,2,1,4.0,
963,Tennessee School for Blind,2,2,3,2,,
964,Tennessee Schools for the Deaf,3,3,3,3,4.0,3.0
97,West Carroll Sp Dist,2,2,3,3,2.0,3.0
970,Department Of Children's Services Education Division,3,2,4,3,3.0,2.0
985,Achievement School District,2,3,3,3,5.0,1.0
987,Tennessee Public Charter School Commission,5,5,5,5,5.0,5.0
