year,system,system_name,school,school_name,test,subject,grade,student_group,participation_rate,enrolled,tested,valid_tests,n_below,n_approaching,n_met_expectations,n_exceeded_expectations,pct_below,pct_approaching,pct_met_expectations,pct_exceeded_expectations,pct_met_exceeded,address
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Non-Students with Disabilities,97,444,432,380,**,**,**,**,**,**,**,**,8.4,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Students with Active Duty Military Parents,*,2,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Students with Disabilities,94,31,29,29,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Super Subgroup,97,447,433,381,**,**,**,**,**,**,**,**,7.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,White,96,55,53,50,**,**,**,**,**,**,**,**,12.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,All Students,88,32,28,22,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Asian,*,1,1,0,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Black or African American,*,7,6,6,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Black/Hispanic/Native American,85,27,23,18,**,**,**,**,**,**,**,**,5.6,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Economically Disadvantaged,81,16,13,12,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,English Learners,*,15,14,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,English Learners with Transitional 1-4,*,15,14,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Female,*,13,12,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Foster,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Hispanic,85,20,17,12,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Homeless,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Male,84,19,16,14,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Non-Black/Hispanic/Native American,*,5,5,4,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Non-Economically Disadvantaged,94,16,15,10,**,**,**,**,**,**,**,**,10.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Non-English Learners/Transitional 1-4,82,17,14,14,**,**,**,**,**,**,**,**,7.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Non-Students with Disabilities,86,28,24,18,**,**,**,**,**,**,**,**,5.6,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Students with Active Duty Military Parents,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Students with Disabilities,*,4,4,4,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,Super Subgroup,88,32,28,22,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,11,White,*,4,4,4,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,All Students,93,14,13,12,**,**,**,**,**,**,**,**,8.3,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Asian,*,1,1,0,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Black or African American,*,4,4,4,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Black/Hispanic/Native American,*,9,9,9,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Economically Disadvantaged,*,4,4,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,English Learners,*,6,5,4,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,English Learners with Transitional 1-4,*,6,5,4,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Female,*,5,5,5,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Hispanic,*,5,5,5,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Homeless,*,2,2,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Male,*,9,8,7,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Migrant,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Non-Black/Hispanic/Native American,*,5,4,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Non-Economically Disadvantaged,*,10,9,9,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Non-English Learners/Transitional 1-4,*,8,8,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Non-Students with Disabilities,92,12,11,10,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Students with Disabilities,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,Super Subgroup,93,14,13,12,**,**,**,**,**,**,**,**,8.3,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,12,White,*,4,3,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,All Students,97,32,31,30,**,**,**,**,**,**,**,**,26.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Asian,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Black or African American,100,13,13,13,**,**,**,**,**,**,**,**,23.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Black/Hispanic/Native American,100,24,24,23,**,**,**,**,**,**,**,**,21.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Economically Disadvantaged,*,9,9,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,English Learner Transitional 1-4,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,English Learners,*,1,1,0,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,English Learners with Transitional 1-4,*,2,2,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Female,100,19,19,19,**,**,**,**,**,**,**,**,31.6,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Hispanic,100,11,11,10,**,**,**,**,**,**,**,**,20.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Homeless,*,1,1,0,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Male,92,13,12,11,**,**,**,**,**,**,**,**,18.2,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Non-Black/Hispanic/Native American,*,8,7,7,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Non-Economically Disadvantaged,96,23,22,22,**,**,**,**,**,**,**,**,31.8,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Non-English Learners/Transitional 1-4,97,30,29,29,**,**,**,**,**,**,**,**,27.6,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Non-Students with Disabilities,97,32,31,30,**,**,**,**,**,**,**,**,26.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,Super Subgroup,100,27,27,26,**,**,**,**,**,**,**,**,23.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,9,White,*,6,5,5,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,All Students,96,553,533,473,**,**,**,**,**,**,**,**,8.9,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Asian,100,12,12,10,**,**,**,**,**,**,**,**,10.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Black or African American,98,163,159,159,**,**,**,**,**,**,**,**,10.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Black/Hispanic/Native American,97,471,455,400,**,**,**,**,**,**,**,**,7.8,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Economically Disadvantaged,95,177,168,154,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,English Learner Transitional 1-4,96,26,25,25,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,English Learners,95,194,184,124,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,English Learners with Transitional 1-4,95,220,209,149,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Female,98,264,259,232,**,**,**,**,**,**,**,**,11.2,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Foster,*,3,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Hispanic,96,308,296,241,**,**,**,**,**,**,**,**,6.2,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Homeless,100,16,16,10,**,**,**,**,**,**,**,**,10.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Male,95,289,274,241,**,**,**,**,**,**,**,**,6.6,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Migrant,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Native Hawaiian or Other Pacific Islander,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Non-Black/Hispanic/Native American,95,82,78,73,**,**,**,**,**,**,**,**,15.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Non-Economically Disadvantaged,97,376,365,319,**,**,**,**,**,**,**,**,11.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Non-English Learners/Transitional 1-4,97,333,324,324,**,**,**,**,**,**,**,**,12.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Non-Students with Disabilities,97,516,498,438,**,**,**,**,**,**,**,**,9.4,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Students with Active Duty Military Parents,*,3,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Students with Disabilities,95,37,35,35,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,Super Subgroup,96,520,501,441,**,**,**,**,**,**,**,**,7.9,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,All Grades,White,94,69,65,62,**,**,**,**,**,**,**,**,14.5,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,All Students,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Black/Hispanic/Native American,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Economically Disadvantaged,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Hispanic,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Male,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Non-English Learners/Transitional 1-4,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Non-Students with Disabilities,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,10,Super Subgroup,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,All Students,*,3,3,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Black or African American,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Black/Hispanic/Native American,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Economically Disadvantaged,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,English Learners,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,English Learners with Transitional 1-4,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Female,*,3,3,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Non-Black/Hispanic/Native American,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Non-Economically Disadvantaged,*,2,2,2,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Non-English Learners/Transitional 1-4,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Non-Students with Disabilities,*,3,3,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,Super Subgroup,*,3,3,3,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,12,White,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,All Students,95,384,365,365,**,**,**,**,**,**,**,**,15.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,American Indian or Alaska Native,*,2,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Asian,*,9,9,9,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Black or African American,94,175,165,165,**,**,**,**,**,**,**,**,12.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Black/Hispanic/Native American,95,319,303,303,**,**,**,**,**,**,**,**,14.2,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Economically Disadvantaged,93,150,140,140,**,**,**,**,**,**,**,**,9.3,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,English Learner Transitional 1-4,100,29,29,29,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,English Learners,91,22,20,20,**,**,**,**,**,**,**,**,5.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,English Learners with Transitional 1-4,96,51,49,49,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Female,96,209,200,200,**,**,**,**,**,**,**,**,19.5,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Foster,*,6,6,6,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Hispanic,96,142,137,137,**,**,**,**,**,**,**,**,16.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Homeless,77,13,10,10,**,**,**,**,**,**,**,**,10.0,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Male,94,175,165,165,**,**,**,**,**,**,**,**,9.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Migrant,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Native Hawaiian or Other Pacific Islander,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Non-Black/Hispanic/Native American,95,65,62,62,**,**,**,**,**,**,**,**,19.4,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Non-Economically Disadvantaged,96,234,225,225,**,**,**,**,**,**,**,**,18.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Non-English Learners/Transitional 1-4,95,333,316,316,**,**,**,**,**,**,**,**,17.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Non-Students with Disabilities,96,342,328,328,**,**,**,**,**,**,**,**,16.8,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Students with Active Duty Military Parents,*,6,6,6,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Students with Disabilities,88,42,37,37,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,Super Subgroup,95,354,335,335,**,**,**,**,**,**,**,**,13.7,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,9,White,95,55,52,52,**,**,**,**,**,**,**,**,19.2,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,All Grades,All Students,95,388,369,369,**,**,**,**,**,**,**,**,14.9,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,All Grades,American Indian or Alaska Native,*,2,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,All Grades,Asian,*,9,9,9,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,All Grades,Black or African American,94,177,167,167,**,**,**,**,**,**,**,**,12.6,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,English I,All Grades,Black/Hispanic/Native American,95,322,306,306,**,**,**,**,**,**,**,**,14.1,"1900 Hobson Pike, Antioch, TN 37013"
