year,system,system_name,school,school_name,test,subject,grade,student_group,participation_rate,enrolled,tested,valid_tests,n_below,n_approaching,n_met_expectations,n_exceeded_expectations,pct_below,pct_approaching,pct_met_expectations,pct_exceeded_expectations,pct_met_exceeded
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,American Indian or Alaska Native,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Asian,*,9,9,9,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Black or African American,100,14,14,14,2,5,6,1,14.3,35.7,42.9,7.1,50
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Black/Hispanic/Native American,100,61,61,60,**,**,**,**,**,**,**,**,31.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Economically Disadvantaged,100,30,30,30,6,10,11,3,20,33.3,36.7,10,46.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,English Learner Transitional 1-4,*,9,9,9,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,English Learners,100,20,20,19,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,English Learners with Transitional 1-4,100,29,29,28,**,**,**,**,**,**,**,**,14.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Female,100,49,49,49,**,**,**,**,**,**,**,**,38.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Foster,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Hispanic,100,46,46,45,**,**,**,**,**,**,**,**,26.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Homeless,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Male,100,45,45,44,11,15,15,3,25,34.1,34.1,6.8,40.9
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Non-Black/Hispanic/Native American,100,33,33,33,2,13,15,3,6,39.4,45.5,9.1,54.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Non-Economically Disadvantaged,100,64,64,63,**,**,**,**,**,**,**,**,36.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Non-English Learners/Transitional 1-4,100,65,65,65,10,22,28,5,15.4,33.8,43.1,7.7,50.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Non-Students with Disabilities,100,84,84,83,13,33,32,5,15.6,39.8,38.6,6,44.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Students with Active Duty Military Parents,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Students with Disabilities,100,10,10,10,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,Super Subgroup,100,81,81,80,19,33,24,4,23.7,41.3,30,5,35
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,White,100,24,24,24,2,8,12,2,8.4,33.3,50,8.3,58.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,All Students,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,Economically Disadvantaged,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,Male,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,Non-Black/Hispanic/Native American,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,Non-English Learners/Transitional 1-4,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,Non-Students with Disabilities,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,Super Subgroup,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,11,White,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,All Students,100,96,96,96,**,**,**,**,**,**,**,**,18.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Asian,100,13,13,13,**,**,**,**,**,**,**,**,15.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Black or African American,100,16,16,16,1,11,3,1,6.1,68.8,18.8,6.3,25
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Black/Hispanic/Native American,100,62,62,62,**,**,**,**,**,**,**,**,19.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Economically Disadvantaged,100,27,27,27,**,**,**,**,**,**,**,**,14.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,English Learner Transitional 1-4,100,13,13,13,**,**,**,**,**,**,**,**,23.1
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,English Learners,100,14,14,14,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,English Learners with Transitional 1-4,100,27,27,27,**,**,**,**,**,**,**,**,11.1
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Female,100,54,54,54,**,**,**,**,**,**,**,**,20.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Hispanic,100,46,46,46,**,**,**,**,**,**,**,**,17.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Male,100,42,42,42,**,**,**,**,**,**,**,**,16.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Non-Black/Hispanic/Native American,100,34,34,34,**,**,**,**,**,**,**,**,17.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Non-Economically Disadvantaged,100,69,69,69,**,**,**,**,**,**,**,**,20.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Non-English Learners/Transitional 1-4,100,69,69,69,**,**,**,**,**,**,**,**,21.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Non-Students with Disabilities,100,91,91,91,**,**,**,**,**,**,**,**,19.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Students with Disabilities,*,5,5,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,Super Subgroup,100,81,81,81,**,**,**,**,**,**,**,**,18.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,9,White,100,21,21,21,**,**,**,**,**,**,**,**,19
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,All Students,100,97,97,97,**,**,**,**,**,**,**,**,18.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Asian,100,13,13,13,**,**,**,**,**,**,**,**,15.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Black or African American,100,16,16,16,1,11,3,1,6.1,68.8,18.8,6.3,25
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Black/Hispanic/Native American,100,62,62,62,**,**,**,**,**,**,**,**,19.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Economically Disadvantaged,100,28,28,28,**,**,**,**,**,**,**,**,14.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,English Learner Transitional 1-4,100,13,13,13,**,**,**,**,**,**,**,**,23.1
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,English Learners,100,14,14,14,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,English Learners with Transitional 1-4,100,27,27,27,**,**,**,**,**,**,**,**,11.1
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Female,100,54,54,54,**,**,**,**,**,**,**,**,20.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Hispanic,100,46,46,46,**,**,**,**,**,**,**,**,17.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Male,100,43,43,43,**,**,**,**,**,**,**,**,16.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Non-Black/Hispanic/Native American,100,35,35,35,**,**,**,**,**,**,**,**,17.1
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Non-Economically Disadvantaged,100,69,69,69,**,**,**,**,**,**,**,**,20.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Non-English Learners/Transitional 1-4,100,70,70,70,**,**,**,**,**,**,**,**,21.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Non-Students with Disabilities,100,92,92,92,**,**,**,**,**,**,**,**,19.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Students with Disabilities,*,5,5,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,Super Subgroup,100,82,82,82,**,**,**,**,**,**,**,**,18.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English I,All Grades,White,100,22,22,22,**,**,**,**,**,**,**,**,18.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,All Students,100,95,95,95,**,**,**,**,**,**,**,**,54.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,American Indian or Alaska Native,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Asian,100,10,10,10,**,**,**,**,**,**,**,**,60
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Black or African American,100,15,15,15,2,6,6,1,13.3,40,40,6.7,46.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Black/Hispanic/Native American,100,60,60,60,**,**,**,**,**,**,**,**,48.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Economically Disadvantaged,100,29,29,29,**,**,**,**,**,**,**,**,48.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,English Learner Transitional 1-4,100,10,10,10,**,**,**,**,**,**,**,**,50
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,English Learners,100,12,12,12,**,**,**,**,**,**,**,**,8.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,English Learners with Transitional 1-4,100,22,22,22,**,**,**,**,**,**,**,**,27.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Female,100,53,53,53,**,**,**,**,**,**,**,**,62.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Foster,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Hispanic,100,44,44,44,**,**,**,**,**,**,**,**,50
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Homeless,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Male,100,42,42,42,**,**,**,**,**,**,**,**,45.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Non-Black/Hispanic/Native American,100,35,35,35,**,**,**,**,**,**,**,**,65.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Non-Economically Disadvantaged,100,66,66,66,**,**,**,**,**,**,**,**,57.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Non-English Learners/Transitional 1-4,100,73,73,73,**,**,**,**,**,**,**,**,63
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Non-Students with Disabilities,100,85,85,85,**,**,**,**,**,**,**,**,60
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Students with Active Duty Military Parents,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Students with Disabilities,100,10,10,10,**,**,**,**,**,**,**,**,10
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,Super Subgroup,100,82,82,82,**,**,**,**,**,**,**,**,51.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,10,White,100,25,25,25,**,**,**,**,**,**,**,**,68
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,All Students,*,8,8,8,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Black or African American,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Black/Hispanic/Native American,*,5,5,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Economically Disadvantaged,*,2,2,2,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,English Learners,*,7,7,7,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,English Learners with Transitional 1-4,*,7,7,7,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Female,*,5,5,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Hispanic,*,4,4,4,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Male,*,3,3,3,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Non-Black/Hispanic/Native American,*,3,3,3,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Non-Economically Disadvantaged,*,6,6,6,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Non-English Learners/Transitional 1-4,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Non-Students with Disabilities,*,7,7,7,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Students with Disabilities,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,Super Subgroup,*,8,8,8,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,11,White,*,3,3,3,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,All Students,100,103,103,103,**,**,**,**,**,**,**,**,50.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,American Indian or Alaska Native,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Asian,100,10,10,10,**,**,**,**,**,**,**,**,60
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Black or African American,100,16,16,16,3,6,6,1,18.7,37.5,37.5,6.3,43.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Black/Hispanic/Native American,100,65,65,65,**,**,**,**,**,**,**,**,44.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Economically Disadvantaged,100,31,31,31,**,**,**,**,**,**,**,**,45.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,English Learner Transitional 1-4,100,10,10,10,**,**,**,**,**,**,**,**,50
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,English Learners,100,19,19,19,**,**,**,**,**,**,**,**,5.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,English Learners with Transitional 1-4,100,29,29,29,**,**,**,**,**,**,**,**,20.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Female,100,58,58,58,**,**,**,**,**,**,**,**,56.9
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Foster,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Hispanic,100,48,48,48,**,**,**,**,**,**,**,**,45.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Homeless,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Male,100,45,45,45,4,22,16,3,8.8,48.9,35.6,6.7,42.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Non-Black/Hispanic/Native American,100,38,38,38,**,**,**,**,**,**,**,**,60.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Non-Economically Disadvantaged,100,72,72,72,**,**,**,**,**,**,**,**,52.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Non-English Learners/Transitional 1-4,100,74,74,74,**,**,**,**,**,**,**,**,62.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Non-Students with Disabilities,100,92,92,92,**,**,**,**,**,**,**,**,55.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Students with Active Duty Military Parents,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Students with Disabilities,100,11,11,11,**,**,**,**,**,**,**,**,9.1
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,Super Subgroup,100,90,90,90,**,**,**,**,**,**,**,**,46.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,English II,All Grades,White,100,28,28,28,**,**,**,**,**,**,**,**,60.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,All Students,*,7,7,6,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Asian,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Black or African American,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Black/Hispanic/Native American,*,6,6,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Economically Disadvantaged,*,3,3,3,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,English Learners,*,6,6,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,English Learners with Transitional 1-4,*,6,6,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Female,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Foster,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Hispanic,*,5,5,4,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Male,*,6,6,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Non-Black/Hispanic/Native American,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Non-Economically Disadvantaged,*,4,4,3,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Non-English Learners/Transitional 1-4,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Non-Students with Disabilities,*,2,2,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Students with Active Duty Military Parents,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Students with Disabilities,*,5,5,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,10,Super Subgroup,*,7,7,6,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,All Students,100,27,27,27,**,**,**,**,**,**,**,**,77.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Asian,*,6,6,6,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Black or African American,*,5,5,5,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Black/Hispanic/Native American,100,13,13,13,1,2,7,3,7.7,15.4,53.8,23.1,76.9
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Economically Disadvantaged,100,10,10,10,1,2,4,3,10,20,40,30,70
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,English Learner Transitional 1-4,*,6,6,6,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,English Learners with Transitional 1-4,*,6,6,6,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Female,100,11,11,11,**,**,**,**,**,**,**,**,63.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Hispanic,*,8,8,8,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Male,100,16,16,16,1,1,8,6,6.2,6.3,50,37.5,87.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Non-Black/Hispanic/Native American,100,14,14,14,**,**,**,**,**,**,**,**,78.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Non-Economically Disadvantaged,100,17,17,17,**,**,**,**,**,**,**,**,82.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Non-English Learners/Transitional 1-4,100,21,21,21,**,**,**,**,**,**,**,**,81
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Non-Students with Disabilities,100,27,27,27,**,**,**,**,**,**,**,**,77.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,Super Subgroup,100,21,21,21,**,**,**,**,**,**,**,**,76.2
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,8,White,*,8,8,8,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,All Students,99,91,90,90,**,**,**,**,**,**,**,**,6.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Asian,*,9,9,9,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Black or African American,100,13,13,13,10,1,1,1,76.9,7.7,7.7,7.7,15.4
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Black/Hispanic/Native American,98,63,62,62,**,**,**,**,**,**,**,**,6.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Economically Disadvantaged,100,26,26,26,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,English Learner Transitional 1-4,100,12,12,12,**,**,**,**,**,**,**,**,16.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,English Learners,97,33,32,32,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,English Learners with Transitional 1-4,98,45,44,44,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Female,98,49,48,48,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Hispanic,98,50,49,49,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Integrated Math I,9,Homeless,*,1,1,1,*,*,*,*,*,*,*,*,*
